lat,lon,alt,date,device,os,version
40.1216499329,-3.63757675171,650.146972656,2017-01-11 08:14:56,"iPhone8,4",10.2,1.1
40.1216384888,-3.63758700371,651.393554688,2017-01-11 08:14:56,"iPhone8,4",10.2,1.1
40.1216308594,-3.63762062073,651.464111328,2017-01-11 08:14:56,"iPhone8,4",10.2,1.1
40.1215774536,-3.63780134201,651.464111328,2017-01-11 08:14:56,"iPhone8,4",10.2,1.1
40.1216117859,-3.63768594742,651.337768555,2017-01-11 08:14:56,"iPhone8,4",10.2,1.1
40.1216537476,-3.63764827728,650.62298584,2017-01-11 08:17:04,"iPhone8,4",10.2,1.1
40.1215736389,-3.63793890953,655.06048584,2017-01-11 08:34:08,"iPhone8,4",10.2,1.1
40.1215888977,-3.63772457123,656.409729004,2017-01-11 08:34:08,"iPhone8,4",10.2,1.1
40.1216499329,-3.63771169662,654.689147949,2017-01-11 08:40:32,"iPhone8,4",10.2,1.1
40.1202728271,-3.63592236519,661.223083496,2017-01-12 08:29:52,"iPhone8,4",10.2,1.1
40.1252471924,-3.63928883553,652.938171387,2017-01-12 17:38:08,"iPhone8,4",10.2,1.1
40.1254760742,-3.63940709114,650.21270752,2017-01-13 04:26:40,"iPhone8,4",10.2,1.1
40.1203414917,-3.63601511002,661.199462891,2017-01-13 08:12:48,"iPhone8,4",10.2,1.1
40.1203186035,-3.63604753494,660.509277344,2017-01-13 08:14:56,"iPhone8,4",10.2,1.1
40.1242973328,-3.63215559006,657.710021973,2017-01-13 12:09:36,"iPhone8,4",10.2,1.1
40.1203224182,-3.63583105087,661.546813965,2017-01-13 12:24:32,"iPhone8,4",10.2,1.1
40.1242858887,-3.63894765854,646.411621094,2017-01-13 17:12:32,"iPhone8,4",10.2,1.1
40.1255485535,-3.63943331718,651.11907959,2017-01-13 22:56:00,"iPhone8,4",10.2,1.1
40.1255447388,-3.63943498611,651.230407715,2017-01-14 07:40:48,"iPhone8,4",10.2,1.1
40.1216995239,-3.63765352249,655.534179688,2017-01-16 08:42:40,"iPhone8,4",10.2,1.1
40.1232635498,-3.63913958549,655.534179688,2017-01-16 08:44:48,"iPhone8,4",10.2,1.1
40.1215393066,-3.63790195465,656.102050781,2017-01-16 08:55:28,"iPhone8,4",10.2,1.1
40.1255256653,-3.63934700966,650.110595703,2017-01-16 18:22:56,"iPhone8,4",10.2,1.1
